symbol,code,exchange,name,fund_type,settlement,snapshot_date,source_data_date,source_update_time,last_price,spot_volume_lots,spot_amount,total_market_value,float_market_value,history_end_date
SZ159736,159736,SZ,食品饮料ETF天弘,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:18+08:00,0.605,179705,10891112.1,4548628593,4548628593,2026-08-10
SZ159738,159738,SZ,云计算ETF华泰柏瑞,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:39+08:00,2.109,26314,5543182.6,284699535,284699535,2026-08-10
SZ159739,159739,SZ,云计算ETF鹏华,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:24+08:00,0.826,51475,4248534.6,371007178,371007178,2026-08-10
SZ159743,159743,SZ,湖北ETF博时,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:30+08:00,1.42,2879,406048.9,156116362,156116362,2026-08-10
SZ159745,159745,SZ,建材ETF国泰,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:57+08:00,0.542,189688,10239975.0,726653043,726653043,2026-08-10
SZ159748,159748,SZ,创新药ETF富国,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:27+08:00,0.858,1013306,87012968.6,1406855846,1406855846,2026-08-10
SZ159752,159752,SZ,新能源ETF申万菱信,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:44:12+08:00,0.63,22939,1440505.8,263314115,263314115,2026-08-10
SZ159755,159755,SZ,电池ETF广发,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:44:03+08:00,0.986,1671718,164760603.891,8869707666,8869707666,2026-08-10
SZ159757,159757,SZ,电池ETF景顺,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:15+08:00,0.822,81144,6672262.8,211198014,211198014,2026-08-10
SZ159758,159758,SZ,红利质量ETF华夏,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:36+08:00,1.154,161582,18631325.6,1537463565,1537463565,2026-08-10
SZ159760,159760,SZ,医疗健康ETF泰康,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:45+08:00,0.615,5553,343320.7,83861537,83861537,2026-08-10
SZ159761,159761,SZ,新材料ETF国泰,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:39+08:00,0.849,41778,3527067.0,172121265,172121265,2026-08-10
SZ159763,159763,SZ,新材料ETF建信,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:30+08:00,0.769,10559,808976.5,68985257,68985257,2026-08-10
SZ159766,159766,SZ,旅游ETF富国,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:33+08:00,0.569,1315939,75054278.8,3041669706,3041669706,2026-08-10
SZ159767,159767,SZ,电池龙头ETF兴银,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:42+08:00,0.803,19852,1591934.6,196633559,196633559,2026-08-10
SZ159768,159768,SZ,房地产ETF银华,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:36+08:00,0.451,573706,25740722.1,394377087,394377087,2026-08-10
SZ159770,159770,SZ,机器人ETF天弘,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:45+08:00,1.059,437874,46278653.3,6504470853,6504470853,2026-08-10
SZ159773,159773,SZ,创业板科技ETF华泰柏瑞,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:18+08:00,1.356,23601,3176423.4,255339031,255339031,2026-08-10
SZ159775,159775,SZ,电池ETF建信,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:21+08:00,0.818,171936,14086330.8,557588849,557588849,2026-08-10
SZ159777,159777,SZ,创科技ETF国联安,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:24+08:00,1.274,13841,1748806.7,34755440,34755440,2026-08-10
SZ159778,159778,SZ,工业互联网ETF鹏华,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:44:06+08:00,1.241,6292,775297.6,51818429,51818429,2026-08-10
SZ159779,159779,SZ,消费电子ETF招商,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:44:09+08:00,1.502,32954,4913838.4,199569744,199569744,2026-08-10
SZ159780,159780,SZ,科创创业50ETF南方,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:44:12+08:00,1.149,568719,64696706.959,4207693814,4207693814,2026-08-10
SZ159781,159781,SZ,科创创业ETF易方达,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:15+08:00,1.147,1506033,171466479.912,17991682117,17991682117,2026-08-10
SZ159782,159782,SZ,双创50ETF银华,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:27+08:00,1.15,141876,16199066.8,655718813,655718813,2026-08-10
SZ159783,159783,SZ,科创创业50ETF华夏,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:42+08:00,1.155,887676,101725892.469,6104705672,6104705672,2026-08-10
SZ159786,159786,SZ,VRETF银华,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:48+08:00,1.19,47244,5593754.0,109124397,109124397,2026-08-10
SZ159787,159787,SZ,建材ETF易方达,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:30+08:00,0.598,2345,140414.8,82237937,82237937,2026-08-10
SZ159790,159790,SZ,碳中和ETF华夏,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:45+08:00,0.725,89286,6461901.7,1164733148,1164733148,2026-08-10
SZ159791,159791,SZ,300ESGETF华夏,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:48+08:00,1.126,3560,399370.5,34999849,34999849,2026-08-10
SZ159793,159793,SZ,线上消费ETF平安,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:51+08:00,0.83,12932,1072090.6,37149894,37149894,2026-08-10
SZ159795,159795,SZ,智能汽车ETF汇添富,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:51+08:00,0.908,6942,628479.9,25577881,25577881,2026-08-10
SZ159796,159796,SZ,电池ETF汇添富,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:33+08:00,0.895,994484,88674106.692,6167863430,6167863430,2026-08-10
